id,student_id,question_id,topic,subtopic,question_level,answer,date,duration,option_selected
6995,168,278,18,11,1,1,2020-01-08 09:49:01+00,,
6996,168,288,18,11,4,1,2020-01-08 09:49:01+00,,
6997,168,380,18,11,1,0,2020-01-08 09:49:01+00,,
6998,168,781,18,11,4,1,2020-01-08 09:49:01+00,,
6999,168,292,18,11,1,0,2020-01-08 09:49:01+00,,
7000,1288,292,18,11,1,1,2020-01-08 09:49:04+00,,
7001,1288,380,18,11,1,1,2020-01-08 09:49:04+00,,
7002,1288,289,18,11,4,1,2020-01-08 09:49:04+00,,
7003,1288,381,18,11,4,0,2020-01-08 09:49:04+00,,
7004,1288,777,18,11,4,1,2020-01-08 09:49:04+00,,
7005,1288,782,18,11,1,0,2020-01-08 09:49:04+00,,
7006,1288,278,18,11,1,0,2020-01-08 09:49:04+00,,
7007,1126,381,18,11,4,0,2020-01-08 09:50:53+00,,
7008,1126,777,18,11,4,0,2020-01-08 09:50:53+00,,
7009,1126,288,18,11,4,1,2020-01-08 09:50:53+00,,
7010,1126,782,18,11,1,0,2020-01-08 09:50:53+00,,
7011,1126,781,18,11,4,0,2020-01-08 09:50:53+00,,
7012,1126,289,18,11,4,0,2020-01-08 09:50:53+00,,
7013,1126,293,18,11,2,0,2020-01-08 09:50:53+00,,
7014,1314,778,18,11,1,0,2020-01-08 09:51:09+00,,
7015,1314,777,18,11,4,0,2020-01-08 09:51:09+00,,
7016,1314,289,18,11,4,0,2020-01-08 09:51:09+00,,
7017,1314,382,18,11,1,0,2020-01-08 09:51:09+00,,
7018,1314,290,18,11,2,0,2020-01-08 09:51:09+00,,
7019,1314,781,18,11,4,1,2020-01-08 09:51:09+00,,
7020,1314,293,18,11,2,0,2020-01-08 09:51:09+00,,
7021,1402,781,18,11,4,0,2020-01-08 09:51:21+00,,
7022,1402,288,18,11,4,1,2020-01-08 09:51:21+00,,
7023,1402,293,18,11,2,0,2020-01-08 09:51:21+00,,
7024,1402,381,18,11,4,1,2020-01-08 09:51:21+00,,
7025,1402,777,18,11,4,1,2020-01-08 09:51:21+00,,
7026,1402,289,18,11,4,0,2020-01-08 09:51:21+00,,
7027,1402,278,18,11,1,1,2020-01-08 09:51:21+00,,
7028,1351,306,18,11,2,0,2020-01-08 09:51:22+00,,
7029,1351,290,18,11,2,0,2020-01-08 09:51:22+00,,
7030,1351,781,18,11,4,0,2020-01-08 09:51:22+00,,
7031,1351,777,18,11,4,0,2020-01-08 09:51:22+00,,
7032,1351,778,18,11,1,0,2020-01-08 09:51:22+00,,
7033,1351,289,18,11,4,0,2020-01-08 09:51:22+00,,
7034,1351,382,18,11,1,1,2020-01-08 09:51:22+00,,
7035,1185,288,18,11,4,0,2020-01-08 09:52:49+00,,
7036,1185,306,18,11,2,1,2020-01-08 09:52:49+00,,
7037,1185,779,18,11,4,0,2020-01-08 09:52:49+00,,
7038,1185,783,18,11,5,1,2020-01-08 09:52:49+00,,
7039,1185,385,18,11,1,0,2020-01-08 09:52:49+00,,
7040,1185,777,18,11,4,0,2020-01-08 09:52:49+00,,
7041,1185,382,18,11,1,0,2020-01-08 09:52:49+00,,
7042,1229,783,18,11,5,1,2020-01-08 09:53:27+00,,
7043,1229,380,18,11,1,1,2020-01-08 09:53:27+00,,
7044,1229,293,18,11,2,0,2020-01-08 09:53:27+00,,
7045,1229,289,18,11,4,0,2020-01-08 09:53:27+00,,
7046,1229,777,18,11,4,0,2020-01-08 09:53:27+00,,
7047,1229,290,18,11,2,1,2020-01-08 09:53:27+00,,
7048,1229,288,18,11,4,0,2020-01-08 09:53:27+00,,
7049,1420,385,18,11,1,0,2020-01-08 09:54:31+00,,
7050,1420,382,18,11,1,0,2020-01-08 09:54:31+00,,
7051,1420,783,18,11,5,0,2020-01-08 09:54:31+00,,
7052,1420,293,18,11,2,1,2020-01-08 09:54:31+00,,
7053,1420,781,18,11,4,0,2020-01-08 09:54:31+00,,
7054,1420,289,18,11,4,0,2020-01-08 09:54:31+00,,
7055,1420,278,18,11,1,0,2020-01-08 09:54:31+00,,
7056,1411,777,18,11,4,0,2020-01-08 09:54:50+00,,
