id,student_id,question_id,topic,subtopic,question_level,answer,date,duration,option_selected
21212,2956,1556,7,2,2,1,2024-06-11 09:56:16+00,,
21213,2956,792,7,2,3,1,2024-06-11 09:57:16+00,,
21214,2956,1517,7,2,4,1,2024-06-11 09:57:48+00,,
21215,2956,1520,7,2,5,1,2024-06-11 09:58:18+00,,
21216,2956,1532,7,2,6,1,2024-06-11 09:58:47+00,,
21217,2956,667,7,2,7,1,2024-06-11 09:59:06+00,,
21218,3435,640,18,7,1,0,2024-06-11 10:19:53+00,,
21219,3435,633,18,7,1,0,2024-06-11 10:20:10+00,,
21220,3435,125,18,7,1,0,2024-06-11 10:20:35+00,,
21221,3435,639,18,7,1,0,2024-06-11 10:20:53+00,,
21222,3435,135,18,7,1,0,2024-06-11 10:21:39+00,,
21223,3435,646,18,7,1,1,2024-06-11 10:29:05+00,,
21224,3435,139,18,7,2,1,2024-06-11 10:32:09+00,,
21225,3435,634,18,7,3,1,2024-06-11 10:34:47+00,,
21226,3435,138,18,7,3,0,2024-06-11 10:41:08+00,,
21227,3435,648,18,7,2,0,2024-06-11 10:42:26+00,,
21228,3435,795,7,2,1,1,2024-06-11 10:46:50+00,,
21229,3435,690,7,2,2,1,2024-06-11 10:49:07+00,,
21230,3435,792,7,2,3,0,2024-06-11 10:49:50+00,,
21231,3435,1556,7,2,2,0,2024-06-11 10:51:33+00,,
21232,3435,665,7,2,1,1,2024-06-11 10:52:45+00,,
21233,3435,799,7,2,2,1,2024-06-11 10:59:20+00,,
21234,3435,664,7,2,3,1,2024-06-11 11:05:53+00,,
21235,3435,1517,7,2,4,1,2024-06-11 11:07:45+00,,
21236,3435,1520,7,2,5,0,2024-06-11 11:16:41+00,,
21237,3435,1521,7,2,4,1,2024-06-11 11:17:30+00,,
21238,3428,647,18,7,1,0,2024-06-11 13:46:50+00,,
21239,3428,633,18,7,1,1,2024-06-11 13:47:13+00,,
21240,3428,139,18,7,2,-1,2024-06-11 13:47:23+00,,
21241,3428,648,18,7,2,-1,2024-06-11 13:47:36+00,,
21242,3428,125,18,7,1,0,2024-06-11 13:47:54+00,,
21243,3404,651,18,7,1,0,2024-06-11 14:48:01+00,,
21244,3404,633,18,7,1,1,2024-06-11 14:52:27+00,,
21245,3404,139,18,7,2,0,2024-06-11 14:53:13+00,,
21246,3404,125,18,7,1,-1,2024-06-11 14:53:28+00,,
21247,3404,639,18,7,1,1,2024-06-11 14:53:52+00,,
21248,3404,786,7,2,1,1,2024-06-11 14:56:05+00,,
21249,3404,690,7,2,2,-1,2024-06-11 14:56:19+00,,
21250,3404,1556,7,2,2,1,2024-06-11 14:57:55+00,,
21251,3404,792,7,2,3,-1,2024-06-11 14:59:10+00,,
21252,3404,664,7,2,3,1,2024-06-11 15:00:02+00,,
21253,3400,646,18,7,1,1,2024-06-12 09:30:23+00,,
21254,3400,139,18,7,2,0,2024-06-12 09:34:48+00,,
21255,3400,633,18,7,1,1,2024-06-12 09:36:46+00,,
21256,3400,648,18,7,2,0,2024-06-12 09:37:37+00,,
21257,3400,125,18,7,1,1,2024-06-12 10:00:30+00,,
21258,3400,665,7,2,1,1,2024-06-12 10:02:42+00,,
21259,3400,690,7,2,2,0,2024-06-12 10:03:27+00,,
21260,3400,793,7,2,1,1,2024-06-12 10:04:17+00,,
21261,3400,1556,7,2,2,1,2024-06-12 10:05:07+00,,
21262,3400,792,7,2,3,1,2024-06-12 10:06:31+00,,
21263,3436,651,18,7,1,1,2024-06-12 10:37:19+00,,
21264,3436,139,18,7,2,0,2024-06-12 10:37:23+00,,
21265,3436,633,18,7,1,0,2024-06-12 10:37:31+00,,
21266,3436,125,18,7,1,1,2024-06-12 10:37:41+00,,
21267,3436,648,18,7,2,1,2024-06-12 10:37:52+00,,
21268,3436,634,18,7,3,0,2024-06-12 10:39:20+00,,
21269,3436,128,18,7,2,1,2024-06-12 10:39:26+00,,
21270,3436,138,18,7,3,0,2024-06-12 10:39:35+00,,
21271,3436,140,18,7,2,0,2024-06-12 10:39:41+00,,
21272,3436,639,18,7,1,0,2024-06-12 10:39:47+00,,
21273,3389,551,25,,1,0,2024-06-12 12:51:15+00,,
21274,3389,574,25,,1,0,2024-06-12 12:51:18+00,,
21275,3389,567,25,,1,1,2024-06-12 12:51:20+00,,
21277,3389,572,25,,1,0,2024-06-12 12:51:26+00,,
21278,3439,569,25,,1,0,2024-06-12 13:00:53+00,,
21279,3439,574,25,,1,1,2024-06-12 13:00:56+00,,
21281,3439,567,25,,1,1,2024-06-12 13:01:05+00,,
21282,3439,560,25,,2,0,2024-06-12 13:01:11+00,,
21283,3389,360,10,,1,0,2024-06-12 13:01:54+00,,
21284,3389,328,10,,1,0,2024-06-12 13:01:57+00,,
21285,3389,337,10,,1,0,2024-06-12 13:01:59+00,,
21286,3389,1473,10,,1,0,2024-06-12 13:02:02+00,,
21287,3389,326,10,,1,0,2024-06-12 13:02:04+00,,
21293,3440,1341,28,47,1,1,2024-06-13 06:28:57+00,,
21294,3440,1343,28,47,2,0,2024-06-13 06:29:16+00,,
21295,3440,1339,28,47,1,1,2024-06-13 06:29:18+00,,
21296,3440,1344,28,47,2,0,2024-06-13 06:29:20+00,,
21297,3440,1411,28,47,1,0,2024-06-13 06:29:22+00,,
21298,3440,1399,28,46,1,1,2024-06-13 06:29:57+00,,
21299,3440,1406,28,46,2,0,2024-06-13 06:30:00+00,,
21300,3440,1395,28,46,1,0,2024-06-13 06:30:02+00,,
21301,3440,1405,28,46,1,0,2024-06-13 06:30:04+00,,
21302,3440,1397,28,46,1,1,2024-06-13 06:30:07+00,,
21303,3440,1417,28,47,1,0,2024-06-13 06:30:22+00,,
21304,3440,1418,28,47,1,1,2024-06-13 06:30:25+00,,
21305,3440,1346,28,47,2,1,2024-06-13 06:30:27+00,,
21306,3440,1342,28,47,3,0,2024-06-13 06:30:29+00,,
21307,3440,1345,28,47,2,0,2024-06-13 06:30:32+00,,
