id,platformmaterialid,platformtopicid,platformsubtopicid
851,678,12,12
852,679,12,12
853,680,12,12
854,681,12,12
855,682,12,12
856,683,12,12
857,684,12,12
858,685,12,12
859,686,18,11
860,687,5,5
885,689,4,42
886,690,12,13
887,691,12,13
888,692,12,13
889,693,12,13
890,694,12,13
891,695,12,13
892,696,17,
894,697,4,4
895,698,3,37
896,698,15,41
897,699,4,4
898,700,3,37
899,700,15,41
900,701,3,37
901,701,15,41
902,702,16,
904,703,16,
906,704,12,13
907,705,12,13
908,706,4,3
909,706,4,42
910,707,4,42
911,708,4,42
912,709,4,42
913,710,4,42
914,711,17,
916,712,17,
918,713,17,
920,714,17,
922,715,10,
924,716,10,
926,717,10,
928,718,10,
930,719,10,
932,720,10,
934,721,26,
936,722,5,44
948,729,5,44
949,730,5,44
950,731,5,44
951,732,5,44
952,733,5,44
953,734,5,44
954,735,5,44
955,736,5,44
956,737,5,44
957,738,5,44
958,739,5,44
959,740,18,8
960,741,18,8
961,742,18,8
962,743,18,8
963,744,18,8
972,749,14,
975,751,4,4
976,752,4,4
977,753,5,5
978,754,4,3
979,755,12,13
980,756,4,3
981,757,4,3
982,758,4,4
983,759,4,4
984,760,12,13
985,761,4,4
986,762,4,3
987,763,4,3
988,764,4,3
989,765,4,4
990,766,4,4
991,767,4,4
992,768,4,3
993,769,4,4
994,770,4,4
995,771,15,41
996,772,15,41
997,773,3,37
998,774,3,37
999,775,15,41
1000,776,15,41
1001,777,15,41
1002,778,15,41
1003,779,15,41
1004,780,15,41
1005,781,4,4
1006,782,4,4
1007,783,4,3
1008,784,4,3
1009,785,10,
1011,786,4,4
1012,787,4,4
1013,788,4,3
1014,789,7,1
1015,790,7,1
1016,791,7,1
1017,792,7,1
1018,793,7,1
1019,794,7,1
1020,795,7,1
1021,796,7,1
1022,797,7,1
1023,798,7,1
1024,799,7,1
1025,800,7,1
1026,801,7,1
1027,802,7,1
1028,803,7,1
1029,804,7,1
1030,805,7,1
1031,806,7,1
1032,807,7,1
1033,808,7,1
1034,809,5,6
1035,810,5,6
1036,811,5,6
1037,812,5,6
1038,813,26,
1040,814,26,
1042,815,26,
1044,817,7,1
1045,818,16,
1047,818,4,3
1048,818,4,42
1049,818,4,4
1050,819,16,
1052,819,4,3
1053,819,4,42
1054,819,4,4
1055,820,16,
1057,820,4,3
1058,820,4,42
1059,820,4,4
1060,821,16,
1062,821,4,3
1063,822,4,3
1064,823,5,45
1065,824,5,45
1066,825,5,45
1067,826,5,45
1068,827,5,45
1069,828,5,45
1070,829,5,45
1071,830,5,45
1072,831,28,47
1073,832,28,47
1074,833,28,47
1075,834,28,47
1076,835,28,47
1077,836,28,47
1078,837,28,47
1079,838,28,47
1080,839,28,47
1081,840,28,46
1082,841,28,46
1083,842,28,46
1084,843,28,46
1085,844,28,46
1086,845,28,46
1087,846,28,46
1088,847,28,46
1089,848,28,46
1128,877,10,
1129,883,10,
1130,882,10,
1140,860,7,2
1141,863,7,2
1142,865,7,2
1143,866,7,2
1144,867,7,2
1145,868,7,2
1146,869,7,2
1147,870,7,2
1148,871,7,2
1149,872,7,2
1150,873,7,2
1151,874,7,2
1152,862,7,2
1154,588,12,12
1155,590,12,12
1156,591,12,12
1157,593,28,47
1159,589,12,12
1177,859,7,2
1178,864,7,2
1181,890,7,2
1185,896,7,2
1186,897,7,2
1198,891,7,2
1209,899,10,
1211,900,10,
1212,901,10,
1213,902,10,
1214,903,10,
1215,904,10,
1269,594,28,47
1270,916,26,
1271,917,26,
1272,918,26,
1273,919,26,
